Priority,Feature,Executive Function / Category,Inspired By,Validation,Codebase / Reference,Yar-only,Build Status
P2,Parallel correction + restructuring agent (the reviser),Working memory / ideation,Yar-only + ADHD paper C9,Non-punitive fixes; honors C9 Adaptive Planning Undo spirit,Background on-device agent,Yes,Planned
P2,Side-thread TODO / reminder capture (parallel agent),Task initiation / working memory,Yar-only,Capture a stray task without losing the current thought,Parallel on-device agent off main flow,Yes,Planned
P2,Personal grammar + lexicon learning (slang / nicknames),Communication / capture,Yar-only,Speaks the user's language not a rigid command set,On-device personalization,Yes,Planned
P2,Brainstorm-to-artifact operations (subtree to proposal/paper/plan),Ideation / executive function,Yar-only,Closes divergent-ideation to finished-deliverable gap,Deterministic graph-to-document transforms,Yes,Planned
P3,Thought deconvolution (separate interleaved threads),Working memory / ideation,Yar-only,Untangles parallel ND thought-streams,On-device agent over the graph,Yes,Research
P1,Private Emotional Notes Before Planning,Emotional regulation,ADHD paper C1,Unacknowledged emotion derails planning (P9/P17),Novel,Yes,Planned
P2,Emotional Inventory Before New Commitments,Emotional regulation / time management,ADHD paper C4,Reduces overcommitment (P6/P17),Novel,Yes,Planned
P2,Shared Planning with a Trusted Person,Co-regulation / social,ADHD paper C5,DI5 co-regulation + DI1 relational accountability,Novel; CAP-guarded sharing,Yes,Planned
P2,Ambient Transition Cues,Sustained attention / transitions,ADHD paper C7,Gentle non-verbal signals vs anxiety-inducing alarms (P4/P14),Novel,Yes,Planned
P2,Adaptive Planning Undo Button,Time management,ADHD paper C9,Soft reset; avoids planning regret + shame spirals (P1/P5),Novel,Yes,Planned
P2,Pattern-Based Gentle Nudges,Self-awareness / time management,ADHD paper C10,Detects recurring friction points (P10/P14),Novel,Yes,Planned
P3,Emotional Debrief After Task Collapse,Emotional regulation / reflection,ADHD paper C12,Non-judgmental reflection after abandonment (P4/P17),Novel,Yes,Planned
P3,Weekly Narrative Reflection (not analytics),Self-awareness / reflection,ADHD paper C13,Narrative over quantitative graphs (P13/P17),Novel,Yes,Planned
