monday_id,slug,name,funder_org,funder_kind,canonical_subset,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,required_slot_ids,required_sub_slot_ids,useful_slot_ids,submission_notes
11813491585,aria-uk-opportunity-seeds,ARIA (UK) — Opportunity Seeds,ARIA (UK),federal_OT,heavy,Grants,Early,Not Started,Government,Grants,Seed (single-stage),"AI for Science;General Tech",,Ongoing / Rolling,4,ARIA grant platform single-stage,grant,"full",medium,,yes,false,fEC,12,,reactive,,50000,250000,false,,standard,false,"Opportunity-space fit;Feasibility;Team",0,U01;U02;U03;U04;U05;U06;U07;U08;U09;U11;U15;A01;A02;A03;A04,U03.4;U08.2,U10;U18;U20;U21,ARIA Opportunity Seeds are smaller (~£250k) single-stage grants. Lighter than full programmes. UK-resident PI / consortium preference.
11813600669,arpa-h-proactive-health-office-iso,ARPA-H Proactive Health Office (PHO) ISO,ARPA-H,federal_OT,heavy,Grants,Late,Under Consideration,Government,Grants,ISO (Innovative Solutions Opening),Proactive Health,2029-03-05,Ongoing / Rolling,5,Solution Summary → written-feedback gate → Full Proposal,hybrid,"summary;full",heavy,,yes,false,OT_negotiated,60,,hybrid,arpah_mission_office.yaml,0,,false,,standard,true,"Mission relevance;Population-level intervention;Technical approach;Team",0,U01;U02;U03;U04;U05;U06;U07;U08;U09;U11;U13;U14;U15;U16;U17;U18;U19;U20;A01;A02;A03;A04,U06.5;U07.2;U08.2;U16.7;U17.7;A03.6,U10;U12;U21,Same ISO mechanics as HSF. PHO-specific: population-level intervention design and proactive-health framing.
11813600652,horizon-europe-cluster-1-health,Horizon Europe — Cluster 1 Health,European Commission,intergovernmental_grant,heavy,Grants,Late,Not Started,Intergovernmental,Grants,RIA / IA / CSA,Healthcare,2026-04-16,Recurring Annual,4,EU Funding & Tenders Portal,grant,"full",heavy,,yes,30,flat_25pct,48,,reactive,,1500000,10000000,false,,standard,false,"Excellence;Impact;Implementation",3,U01;U02;U03;U04;U05;U06;U07;U08;U11;U12;U13;U14;U15;U16;U17;U18;U19;U20;A01;A02;A03;A04,U13.6;A03.6;A03.10,U09;U10;U21;U22,Consortium ≥3 entities from ≥3 different EU/Associated countries. Three-pillar evaluation. CDE Plan Gender-in-research-content Ethics self-assessment 25% flat-rate indirect.
11813600710,google-org-ai-for-science-impact-challenge,Google.org AI for Science Impact Challenge,Google,private_grant,heavy,Grants,Intermediate,Under Preparation,Corporate,Grants,Impact Challenge,AI for Science,2026-05-01,Single Deadline,5,Online challenge form,grant,"full",heavy,,yes,false,capped_negotiated,36,,reactive,google_impact_challenge.yaml,500000,1500000,false,,standard,false,"Mission alignment;Use of AI;Feasibility;Team;Impact",0,U01;U02;U03;U04;U05;U06;U07;U08;U09;U11;U12;U13;U14;U15;U17;U19;U20;A01;A02;A03;A04;A05,,U10;U16;U18;U21,Google.org Impact Challenge — competitive single-stage ~$1.5M typical. Heavy focus on AI use mission alignment demonstrated impact.
11813600629,czi-science,Chan Zuckerberg Initiative (CZI),CZI,private_grant,heavy,Small Grants,Intermediate,Not Started,Philanthropic Foundation,Small Grants,Science RFA,AI for Science,2026-06-05,Recurring Annual,4,CZI portal RFA,grant,"full",heavy,,yes,false,flat_15pct,36,,reactive,,100000,5000000,false,,standard,false,"Scientific impact;Open science;Diversity;Feasibility",0,U01;U02;U03;U04;U05;U06;U07;U08;U11;U12;U13;U15;U17;U20;A01;A02;A03;A04,U12.7;A03.6,U09;U10;U14;U18;U19;U22,CZI Science RFAs vary by program. 15% indirect cap. Open Science load-bearing — preprints FAIR data. No funds to mainland China.
11813501684,wellcome-trust-discovery-awards,Wellcome Trust Discovery Programs,Wellcome Trust,private_grant,heavy,Grants,Late,Not Started,Philanthropic Foundation,Grants,Discovery Award,Healthcare,2026-03-31,Recurring Annual,4,Preliminary application → Full application,grant,"LOI;full",heavy,,yes,false,fEC,84,,reactive,,1000000,5000000,false,UK / Ireland / LMIC (excl. mainland China & India),standard,false,"Research vision;Novelty;Methodology;Team & environment;EDI",0,U01;U02;U03;U04;U05;U06;U07;U08;U11;U12;U13;U15;U16;U17;U19;U20;A01;A02;A03;A04,U12.7;A03.6;A03.9;A03.10,U09;U10;U14;U21;U22,5-8y £1-3M UK-fEC or LMIC-equivalent. PI ≥20% time + permanent contract. Cannot fund mainland China; LMIC eligibility list applies.
11813491466,draper-richards-kaplan-foundation,Draper Richards Kaplan Foundation,DRK Foundation,private_grant,heavy,Small Grants,Early,Not Started,Philanthropic Foundation,Small Grants,3-year cohort engagement,Healthcare,,Ongoing / Rolling,3,Online application + pitch deck/business plan,TBD-at-closing,"full",medium,3,yes,false,direct_only,36,,reactive,,100000,300000,false,,standard,false,"Problem urgency;Systems thinking;Scalability (10k lives in 5y);Team;Theory of change",0,U01;U02;U03;U04;U05;U06;U07;U11;U17;U18;U19;U22;A01;A02;A03;A04,U04.5;U11.7;A04.7,U09;U10;U12;U13;U21,DRK chooses instrument (grant vs. equity) at closing. 3-year structured engagement; board placement. Theory of change required. Scalability bar: ≥10k lives in 5y.
11813600697,doe-genesis-mission,Genesis Mission,DoE,federal_OT,heavy,Grants,Late,Under Preparation,Government,Grants,Genesis Mission Focus Area 2,AI for Science,,Recurring Annual,5,Concept paper → full proposal via DOE portal,hybrid,"concept;full",heavy,,yes,false,OT_negotiated,60,,hybrid,doe_genesis.yaml,5000000,50000000,false,,standard,false,"Genesis-mission fit;Phased technical plan;Team;Translation",0,U01;U02;U03;U04;U05;U06;U07;U08;U09;U11;U12;U13;U14;U15;U16;U17;U18;U19;U20;A01;A02;A03;A04,U06.5;U07.2;U07.5;U08.2;U08.5;U16.7;A03.6;A03.13,U10;U21;U22,Phase I/II OT structure. 1 lead per institution (limited submission). NSPM-33 research-security disclosures. Phased-budget structure.
11813600712,coefficient-giving-global-health-rd,Coefficient Giving — Global Health R&D,Coefficient Giving,philanthropic_grant_proactive,heavy,Small Grants,Intermediate,Under Consideration,Philanthropic Foundation,Small Grants,Science & Global Health R&D Fund,Healthcare,,Ongoing / Rolling,5,Email pitch (1-2 pp) to science@coefficientgiving.org,grant,"concept;full",medium,,yes,false,capped_negotiated,36,,proactive,,100000,50000000,false,,standard,false,"Counterfactual;Cost-effectiveness (DALY/$);Team;Open output",0,U01;U02;U03;U04;U05;U06;U07;U11;U12;U17;U18;U21;U22;A01;A02;A03;A04,U18.6;U18.7;U21.1,U09;U10;U13;U14;U15;U19,Coefficient Giving (formerly Open Philanthropy) primarily proactive. Email-first; counterfactual + cost-effectiveness (DALYs/$) load-bearing. Existing-proposal acceptable.
11813501604,ea-funds-long-term-future-fund,EA Funds - Long-term Future Fund,Effective Altruism,ea_micro_grant,medium,Small Grants,Early,Under Consideration,EA / Longtermist,Small Grants,LTFF,AI Safety,,Ongoing / Rolling,4,EA Funds online form,grant,"full",light,,yes,false,direct_only,12,,reactive,,1000,500000,false,,standard,false,"Counterfactual;Theory of impact;Cost-effectiveness;Honest weaknesses",0,U01;U03;U04;U05;U06;U07;U11;U21;U22;A01;A02;A03,U05.4;U21.1,U02;U09;U10;U12;U14;U15,LTFF light-touch ~10k-char application; rolling. Counterfactual + theory-of-impact load-bearing. Individual or org grantee. ~4-month review cycles.
11813512971,emergent-ventures,Emergent Ventures,Mercatus Center,ea_micro_grant,medium,Small Grants,Early,Not Started,Philanthropic Foundation,Small Grants,Micro-grant / Tyler Cowen,,,Ongoing / Rolling,3,Online form via mercatus.org,grant,"full",light,,yes,false,direct_only,12,,reactive,,5000,100000,false,,standard,false,"Talent;Bold ideas;Counterfactual",0,U01;U03;U04;U11;U21;A01;A02;A03,A03.12,U05;U06;U07;U22,Tyler Cowen's discretionary micro-grant program. Light-touch (1-2 page proposal). Min applicant age 13+. Strong on talent/counterfactual; minimal admin.
11813600725,rwjf,Robert Wood Johnson Foundation (RWJF),RWJF,private_grant,heavy,Small Grants,Intermediate,Not Started,Philanthropic Foundation,Small Grants,Active funding opportunities (multi-program),Healthcare,2026-04-13,Recurring Annual,3,RWJF online (program-specific RFA),grant,"LOI;full",medium,,yes,false,capped_negotiated,24,,reactive,,50000,500000,false,,standard,false,"Health-equity fit;Theory of change;Community engagement;Sustainability",0,U01;U02;U03;U04;U05;U06;U07;U11;U13;U17;U19;U22;A01;A02;A03;A04,U13.7;A04.8,U09;U10;U12;U18;U21,RWJF runs many sub-programs all requiring 501(c)(3) determination letter. Theory of change + community-co-design load-bearing. ~25% indirect.
11813600589,ea-funds-infrastructure,EA Funds - Infrastructure,Effective Altruism,ea_micro_grant,medium,Small Grants,Early,Not Started,EA / Longtermist,Small Grants,EAIF,"AI for Science;AI Safety;Open Science",,Ongoing / Rolling,3,EA Funds online form,grant,"full",light,,yes,false,direct_only,12,,reactive,,1000,250000,false,,standard,false,"Counterfactual;Theory of impact;Cost-effectiveness;Honest weaknesses",0,U01;U03;U04;U05;U06;U07;U11;U21;U22;A01;A02;A03,U05.4;U21.1,U02;U09;U10;U12;U14;U15,Same form/cycle as LTFF but funds EA-ecosystem infrastructure (talent dev profession networks).
11813512997,aws-imagine-grant-pathfinder-genai,AWS Imagine Grant — Pathfinder GenAI,AWS,private_grant,heavy,Small Grants,Intermediate,Not Started,Corporate,Small Grants,Imagine Grant Pathfinder,AI for Science,2026-06-06,Recurring Annual,4,Two-round online portal (Round 2 by invitation),hybrid,"round1;round2",heavy,,yes,false,capped_negotiated,24,,reactive,,100000,300000,false,,standard,false,"Mission alignment;Frontier AI use case;Data readiness;Implementation",0,U01;U02;U03;U04;U05;U06;U07;U11;U14;U15;U17;U20;A01;A02;A03;A04,A04.8;U20.6,U09;U10;U12;U13;U18;U19,US 501(c) only; UK/Ireland regional variants exist. Pathfinder requires GenAI/agentic AI as core workload + AWS technical reference architecture. Round 2 by invitation.
11813600600,gates-foundation-grand-challenges-cost-disruptive-tools,Gates Foundation Grand Challenges - Cost-Disruptive Tools for Diagnosis and Screening,Gates Foundation,private_grant,heavy,Small Grants,Intermediate,Not Started,Philanthropic Foundation,Small Grants,Grand Challenges challenge,Healthcare,2026-04-28,Single Deadline,4,Grand Challenges portal,grant,"full",medium,,yes,false,flat_10pct,24,,reactive,,100000,1000000,false,,standard,false,"Cost-disruption magnitude;Global access;LMIC implementation;Team",0,U01;U02;U03;U04;U05;U06;U07;U11;U13;U17;U18;U19;A01;A02;A03;A04,U04.5;U18.7;U19.6;A04.8,U09;U10;U12;U14;U15;U22,Cost-disruptive framing; 10% indirect cap; Global Access Policy commitment; LMIC implementation pathway load-bearing.
11813491505,astera-institute-residency,Astera Institute Residency,Astera,private_fellowship,heavy,Accelerators & Incubators,Early,Under Preparation,Philanthropic Foundation,Accelerators & Incubators,Residency,"AI for Science;Open Science",2026-04-19,Recurring Annual,5,Astera online application,fellowship,"full",medium,,yes,false,direct_only,24,,reactive,astera_residency.yaml,100000,200000,true,"Emeryville, CA",standard,false,"Astera-fit;Anti-goals/out-of-scope clarity;Team;Open science",0,U01;U02;U03;U04;U06;U07;U09;U10;U11;U12;U17;A01;A02;A03;A04;A05,U09.4;A03.8;A04.6,U05;U08;U13;U14;U15;U18;U19;U20,In-person Emeryville residency. 2-min demo video gate. Out-of-scope/anti-goals (U09.4) explicitly required (Astera Q7).
11813491457,fast-forward-accelerator,Fast Forward Accelerator,Fast Forward,accelerator,medium,Accelerators & Incubators,Early,Not Started,Philanthropic Foundation,Accelerators & Incubators,Tech-nonprofit accelerator,"Open Science;General Tech",2026-09-08,Recurring Annual,3,Online application via apply.ffwd.org,hybrid,"full",medium,,yes,false,direct_only,6,,reactive,,25000,25000,true,In-person events (US),standard,false,"Founder proximity;MVP demonstrated;Software-first scaling;Mission impact",0,U01;U03;U04;U11;U17;U19;A01;A02;A03;A04,U11.7;A04.6,U02;U05;U06;U10;U18;U22,Funds early-stage tech nonprofits with MVP. Founder lived-experience/proximity to problem load-bearing. MVP demo gate. In-person events required.
11813600709,astrazeneca-change,AstraZeneca CHANGE Program,AstraZeneca Foundation,private_grant,heavy,Small Grants,Intermediate,Not Started,Corporate,Small Grants,Health-equity grant,Healthcare,2026-04-29,Recurring Annual,2,Initial application → invited full via CyberGrants,grant,"LOI;full",medium,,yes,false,capped_negotiated,24,,reactive,,50000,500000,false,CA / DE / MD / MA / TX,standard,false,"Health equity;Social drivers of health;Partnership;Sustainability",0,U01;U03;U04;U05;U06;U07;U11;U13;U17;U19;U22;A01;A02;A03;A04,U13.7;A03.10;A03.11;A04.8,U02;U09;U10;U18;U21,US-only 501(c)(3) (no 509(a)(3)) revenue ≤$12M served populations in CA/DE/MD/MA/TX. Theory of change required. Two-stage with CyberGrants for full proposal.
11813497870,unesco-who-open-science,UNESCO/WHO Open Science Projects,UNESCO / WHO,intergovernmental_grant,heavy,Small Grants,Intermediate,Not Started,Intergovernmental,Small Grants,Open Science Participation Grant,"Healthcare;Open Science",2026-04-19,Recurring Annual,3,UNESCO portal,grant,"full",medium,,yes,false,capped_negotiated,24,WHO,reactive,,50000,250000,false,,standard,false,"Open science alignment;Member-state benefit;Feasibility",0,U01;U02;U03;U04;U06;U07;U11;U12;U13;U17;U19;U20;A01;A02;A03;A04,U12.7;A03.10,U05;U08;U09;U14;U15;U18,UNESCO Participation Programme grants follow biennial cycles. WHO program details unconfirmed. Open Science Recommendation alignment load-bearing.
11813600696,qb3-bakar-labs,QB3 / Bakar Labs (UC Berkeley),QB3 / UC Berkeley,accelerator,medium,Accelerators & Incubators,Early,Not Started,Corporate,Accelerators & Incubators,Wet-lab incubator,"AI for Science;Healthcare;Biotech/Pharma",2026-05-29,Ongoing / Rolling,2,QB3-Berkeley application,in-kind,"full",medium,,yes,false,,24,,reactive,,0,0,true,"Berkeley, CA (Bakar Bio Labs)",standard,false,"Wet-lab fit;Stage;Team",0,U01;U03;U04;U11;A01;A02;A03;A04,A04.10,U02;U05;U06;U07;U17;U18,Bakar Bio Labs in-kind only (lab space + equipment subsidized rent). Wet-lab needs assessment required. Cytognosis fit low — software/AI-first.
11813497887,adobe-for-nonprofits,Adobe for Nonprofits,Adobe,nonprofit_discount,light,Discounts,Early,Rejected,Corporate,Discounts,SaaS discount (TechSoup-mediated),General Tech,,Ongoing / Rolling,2,TechSoup verification,discount,"verification_only",light,,verification_only,false,,12,,reactive,,0,0,false,,standard,false,,0,A01;A03,A04.8,,Adobe nonprofit discount via TechSoup. Verification-only. Inventory marks Rejected.
11813600651,aws-activate,AWS Activate,AWS,corporate_credit,light,Accelerators & Incubators,Early,Not Started,Corporate,Accelerators & Incubators,Cloud credits (Activate Portfolio),"AI for Science;General Tech",2026-06-05,Ongoing / Rolling,3,AWS Activate online form,credits,"full",light,,yes,false,,12,,reactive,,1000,100000,false,,standard,false,"Stage eligibility;Activate Provider relationship",0,A01;A02;A03,A03.12,U01;U03,Activate has Founders Package ($1k) and Portfolio Package ($100k) gated by Activate Provider Org ID. 501(c)(3) may not qualify; AWS Imagine or Nonprofit Credit Program preferred.
11813600586,indiebio-sosv,IndieBio (SOSV),SOSV / IndieBio,vc_investment,medium,Investment,Early,Not Started,Venture Capital,Investment,Cohort-based biotech accelerator + VC,Biotech/Pharma,,Recurring Annual,2,IndieBio online application,investment,"full",medium,10,yes,false,,4,,reactive,,350000,525000,true,SF or NY,standard,false,"Bio thesis;Founder team;Wet-lab feasibility",0,U01;U03;U04;U10;U11;A01;A02;A03;A04,A03.8;A04.7,U02;U05;U06;U07;U17;U18,Equity (~$525k for ~8%) for 4-month cohort in SF or NY. 501(c)(3) is poor fit (for-profit-oriented).
11813512974,y-combinator,Y Combinator,Y Combinator,accelerator,medium,Investment,Early,Rejected,Venture Capital,Investment,YC core / nonprofit cohort,"AI for Science;Healthcare;General Tech",2026-05-04,Recurring Annual,3,YC online application + 1-min video,investment,"full",medium,10,yes,false,,3,,reactive,yc_s26_pbc.yaml,500000,500000,true,SF Bay Area,standard,false,"Founder team;Product/market fit;Why-now",0,U01;U03;U04;U09;U10;U11;U17;A01;A02;A03;A04;A05,A03.8;A04.6,U02;U05;U06;U07;U18;U19,Cytognosis path is YC nonprofit cohort (covered by yc_s26_pbc canonical funder). 1-min video required. Inventory Rejected — strategic decision not to apply.
11813600626,anthropic-ai-for-science,Anthropic AI for Science Program,Anthropic,corporate_credit,light,Credits,Early,Not Started,Corporate,Credits,API credits for science,"AI for Science;AI Safety;Biotech/Pharma",,Ongoing / Rolling,5,Google Form (linked from program page),credits,"full",light,,yes,false,,6,,reactive,,0,20000,false,,standard,false,"Scientific merit;Impact;Technical feasibility;Team credentials",0,U01;U03;U11;A01;A02;A03,,U02;U04;U14,$20k API credits 6-month redemption. Academic/nonprofit only. Strong direct fit for Cytognosis.
11813497863,berkeley-skydeck,Berkeley SkyDeck,UC Berkeley,accelerator,medium,Accelerators & Incubators,Early,Not Started,Venture Capital,Accelerators & Incubators,University accelerator,"AI for Science;Healthcare;General Tech",,Recurring Annual,2,SkyDeck online application,investment,"full",medium,10,yes,false,,6,,reactive,,75000,200000,true,"Berkeley, CA",standard,false,"Berkeley affiliation (preferred);Founder team;Stage",0,U01;U03;U04;U10;U11;A01;A02;A03;A04,A03.8;A04.7,U05;U06;U07;U17,UC Berkeley accelerator. Mostly Berkeley-affiliated startups. Cytognosis fit low (501c3).
11813600587,google-hai-def,Google Health AI Developer Foundations (HAI-DEF),Google,corporate_credit,light,Credits,Early,Not Started,Corporate,Credits,Health AI developer access,"AI for Science;Healthcare;Digital Health",,Ongoing / Rolling,4,Google developer signup,credits,"verification_only",light,,verification_only,false,,12,,reactive,,0,0,false,,standard,false,,0,A01;A02;A03,,,HAI-DEF gives developer access to Google's health AI foundation models. Verification-only.
11813491465,foresight-ai-safety-science-nodes,Foresight Institute — AI for Science & Safety Nodes,Foresight Institute,private_fellowship,heavy,Accelerators & Incubators,Early,Rejected,EA / Longtermist,Accelerators & Incubators,Node residency,AI Safety,,Recurring Annual,4,Foresight grants portal,fellowship,"full",medium,,yes,false,direct_only,12,,reactive,foresight_nodes.yaml,50000,250000,true,SF / Berlin,standard,false,"AI safety relevance;Open science;Team;Theory of change",0,U01;U02;U03;U04;U05;U06;U07;U08;U11;U12;U14;U15;U17;U19;U20;A01;A02;A03;A04;A05,A03.8;U21.1;U22.1,U09;U10;U13;U18,6-12 month residencies in SF or Berlin. Strong on AI safety + open science. Cytognosis previously rejected per inventory.
11813497936,atlassian-for-nonprofits,Atlassian for Nonprofits,Atlassian,nonprofit_discount,light,Discounts,Early,Not Started,Corporate,Discounts,SaaS discount,General Tech,,Ongoing / Rolling,1,Atlassian Foundation verification,discount,"verification_only",light,,verification_only,false,,12,,reactive,,0,0,false,,standard,false,,0,A01;A03,A04.8,,Atlassian community license for verified nonprofits. Verification-only.
11813600627,matlab-startup-program,MATLAB Startup Program,MathWorks,corporate_credit,light,Accelerators & Incubators,Early,Not Started,Corporate,Accelerators & Incubators,Software license discount,"AI for Science;General Tech",,Ongoing / Rolling,2,MathWorks startup application,discount,"verification_only",light,,yes,false,,12,,reactive,,0,0,false,,standard,false,,0,A01;A02;A03,,,MathWorks discounted MATLAB license for early-stage startups.
11813612467,microsoft-azure-nvidia-healthcare,Microsoft Azure + NVIDIA Healthcare,Microsoft / NVIDIA,corporate_credit,light,Credits,Early,Not Started,Corporate,Credits,Joint Microsoft+NVIDIA healthcare program,"AI for Science;Healthcare;Biotech/Pharma",,Ongoing / Rolling,3,Microsoft for Startups application,credits,"full",light,,yes,false,,12,NVIDIA,reactive,,0,200000,false,,standard,false,,0,A01;A02;A03,,U01;U03,Joint Microsoft + NVIDIA healthcare cloud-credit program. Up to ~$200k Azure credits + NVIDIA tooling.
