domain,domain_public,cluster,feature_id,feature,status,gated,description
ERM,"Mood, energy & emotional support",Compassionate pacing (anti-burnout),F44,Streaks that honor rest days,shipped,,Consistency record that does not punish needed stops.
ERM,"Mood, energy & emotional support",Compassionate pacing (anti-burnout),F48,Gentle reset after a hard day,planned,yes,A short kind debrief to process and set it down.
ERM,"Mood, energy & emotional support",Compassionate pacing (anti-burnout),F49,Your week as a story,planned,,"A short human narrative of the week, not a list."
ERM,"Mood, energy & emotional support",Privacy & safety foundation,F17,Private space before planning,shipped,,"Write how you feel before tasks, private to you."
ERM,"Mood, energy & emotional support",Privacy & safety foundation,F18,Safety & consent layer (CAP),shipped,,Built-in consent and safety controls; you are in charge.
ERM,"Mood, energy & emotional support",Privacy & safety foundation,F19,On-device private AI,planned,,AI runs on your device; data never leaves your hands.
SCI,Connecting & communicating,Communication coaching,F25,Pre-send tone check-in,planned,,Optional heads-up on how a message's tone might land.
SCI,Connecting & communicating,Communication coaching,F42,Two-way communication bridge,planned,yes,"Translate between ND and neurotypical styles, both ways."
SCI,Connecting & communicating,Communication coaching,F63,Invisible-disability advocacy mode,planned,yes,"During hard periods, helps explain your situation, needs, and what to expect to others, on your terms."
SCI,Connecting & communicating,Relational support,F36,Co-planning with a trusted person,planned,yes,"Share planning with a trusted person, on your terms."
SCI,Connecting & communicating,Relational support,F56,Social connections & your mood,planned,yes,See how social interactions connect to how you feel.
SPR,Sensory comfort,Sensory accommodations,F23,Read-aloud with highlighting,planned,,Text read aloud with words highlighted in sync.
SPR,Sensory comfort,Sensory accommodations,F37,Gentle context change cues,planned,,A soft signal before shifting from one thing to another.
CTO,"Thinking, notes & ideas",Brainmap & thought mapping (flagship),F13,Voice-grown thought map,groundwork,,Talk and watch words build into a connected visual map.
CTO,"Thinking, notes & ideas",Brainmap & thought mapping (flagship),F14,Thought placement assistant,shipped,,Suggests where a new idea fits in your existing map.
CTO,"Thinking, notes & ideas",Brainmap & thought mapping (flagship),F15,Spatial thought map view,shipped,,See notes and ideas laid out spatially with connections.
CTO,"Thinking, notes & ideas",Brainmap & thought mapping (flagship),F31,Thought map reviewer,shipped,,A gentle review catching loose threads after a session.
CTO,"Thinking, notes & ideas",Brainmap & thought mapping (flagship),F47,Untangling parallel thoughts,planned,,Sort several simultaneous ideas into workable threads.
CTO,"Thinking, notes & ideas",Brainmap & thought mapping (flagship),F60,Conversational thought map,partial,,Build a map through back-and-forth conversation.
CTO,"Thinking, notes & ideas","Notes, types & personal language",F09,Structured note types,partial,,Flexible note types that match how your memory works.
CTO,"Thinking, notes & ideas","Notes, types & personal language",F10,Saved smart searches,planned,,Active searches that surface the right notes as things change.
CTO,"Thinking, notes & ideas","Notes, types & personal language",F33,Your personal vocabulary,planned,,"Yar learns your names, phrases, and shorthand."
CTO,"Thinking, notes & ideas","Notes, types & personal language",F58,Names & terms you use,shipped,,"Recognizes your people, places, and terms over time."
CTO,"Thinking, notes & ideas","Capture, documents & transforms",F34,Map to document transform,planned,,Turn a messy thought map into a clean document in one step.
CTO,"Thinking, notes & ideas","Capture, documents & transforms",F50,Highlight & link on any page,planned,,Highlight anything on any web page and link it into notes.
CTO,"Thinking, notes & ideas","Capture, documents & transforms",F61,Thought to document templates,planned,,"Apply a template to a map to draft a doc, report, or email."
CTO,"Thinking, notes & ideas","Capture, documents & transforms",F66,Ask & summarize your captures,planned,,Ask questions across your captures and get grounded summaries from your own knowledge.
CTO,"Thinking, notes & ideas",Data ownership & interop,F16,Your data in your own tools,shipped,,"Use Yar alongside Obsidian, Logseq; data stays yours."
CTO,"Thinking, notes & ideas",Data ownership & interop,F51,Open schema translation layer,planned,,Move notes/data between apps and formats without losing structure.
CTO,"Thinking, notes & ideas",Data ownership & interop,F52,Private local knowledge store,shipped,,Notes live on your device in an open format you own.
CTO,"Thinking, notes & ideas",Data ownership & interop,F67,Long-term personal memory,planned,,"A personal, temporal memory graph so Yar recalls people, terms, and threads across sessions."
CTO,"Thinking, notes & ideas",Data ownership & interop,F68,Cross-device sync,planned,,"Keep your data consistent across phone and laptop, local-first and under your control."
SMI,Noticing & understanding yourself,Sensor connectivity (CSP),F12,Open sensor connection layer (CSP),planned,,A flexible layer to connect data sources and devices you choose.
SMI,Noticing & understanding yourself,Sensor connectivity (CSP),F30,Wearable sensor connection,planned,,Connect an Oura ring or Apple Watch; factor in body data.
SMI,Noticing & understanding yourself,Sensor connectivity (CSP),F46,Brain sensor connection layer,planned,,"Future, opt-in connection for non-invasive brain sensing."
SMI,Noticing & understanding yourself,Self-tracking & assessment,F55,Your custom tracking axes,planned,,Define your own dimensions to track that no app covers.
SMI,Noticing & understanding yourself,Self-tracking & assessment,F62,Opt-in self-assessment tools,planned,yes,"Validated optional self-assessments, never diagnostic."
SMI,Noticing & understanding yourself,Insight & nudges,F39,Personalized gentle nudges,shipped,,"Nudges tuned to your patterns, arriving when useful."
SMI,Noticing & understanding yourself,Insight & nudges,F43,Layered wellbeing dashboard,planned,,Wellbeing data in layers you open as much as you want.
